Respondent,Professional,Countries,EmploymentStatus,CompanySize,CompanyType,JobSatisfaction,JobSeekingStatus,ImportantBenefits
14431,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am actively looking for a job,Vacation/days off; Equipment; Education sponsorship; Expected work hours; Remote options
14513,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Professional development sponsorship; Remote options
14568,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
14583,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Private office; Expected work hours
14584,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Health benefits; Remote options
14604,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Health benefits; Remote options
14626,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Health benefits; Professional development sponsorship; Meals
14681,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Vacation/days off; Equipment
14858,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Professional development sponsorship; Remote options
14903,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",NA
14961,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Equipment; Long-term leave
15118,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Health benefits; Equipment; Education sponsorship; Meals
15145,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am actively looking for a job,Stock options; Retirement; Annual bonus; Health benefits; Professional development sponsorship
15315,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Charitable match; Professional development sponsorship; Remote options; Other
15360,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
15492,Professional developer,Indonesia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Health benefits; Long-term leave; Expected work hours
15856,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
15990,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Charitable match; Equipment; Long-term leave; Remote options
16005,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Health benefits; Equipment; Professional development sponsorship; Expected work hours; Meals
16010,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
16074,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
16127,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Vacation/days off; Health benefits; Professional development sponsorship; Long-term leave
16229,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Charitable match; Health benefits
16237,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Annual bonus; Vacation/days off; Health benefits
16241,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
16330,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Professional development sponsorship; Education sponsorship; Expected work hours
16533,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Equipment; Remote options; Meals
16610,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Vacation/days off; Health benefits; Equipment; Private office; Expected work hours
16717,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Health benefits; Equipment; Professional development sponsorship; Remote options
16766,Professional developer,Singapore,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Health benefits; Long-term leave
17084,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Annual bonus; Health benefits; Equipment; Remote options
17246,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",NA
17291,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
17414,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Stock options; Health benefits
17428,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Vacation/days off; Health benefits
17497,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Annual bonus; Health benefits; Professional development sponsorship; Education sponsorship; Remote options
17561,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,NA,NA
18042,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options
18116,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Vacation/days off; Remote options
18138,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options
18315,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Expected work hours; Other
19000,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
19015,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",NA
19120,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
19127,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Professional development sponsorship; Expected work hours; Remote options
19189,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Education sponsorship; Remote options
19218,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am actively looking for a job,Health benefits; Equipment; Professional development sponsorship; Long-term leave; Remote options
19343,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,I am actively looking for a job,Retirement; Health benefits; Remote options
19346,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Equipment; Professional development sponsorship; Expected work hours; Remote options
19452,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
19512,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Vacation/days off; Education sponsorship; Expected work hours; Remote options
19519,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Education sponsorship; Expected work hours; Remote options
19536,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
19620,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
19675,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
19743,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Professional development sponsorship; Education sponsorship; Expected work hours
19770,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Expected work hours; Remote options
19794,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
19816,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
19913,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
20612,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
20841,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Retirement; Equipment; Professional development sponsorship
20962,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,I am actively looking for a job,Retirement; Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours
21287,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
21478,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
21609,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
21771,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Equipment; Professional development sponsorship; Education sponsorship; Remote options
22298,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Equipment; Expected work hours
22636,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
22753,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
22829,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Professional development sponsorship; Expected work hours
22847,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Stock options; Vacation/days off; Expected work hours
22853,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Education sponsorship; Remote options
22864,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
22898,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
22909,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Retirement; Annual bonus; Vacation/days off; Remote options
22970,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Health benefits; Expected work hours; Meals
23034,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Charitable match; Long-term leave; Expected work hours; Meals
23116,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am actively looking for a job,Stock options; Annual bonus; Vacation/days off; Professional development sponsorship; Expected work hours
23307,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
23496,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Health benefits; Long-term leave
23821,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Equipment; Professional development sponsorship; Remote options; Meals
23848,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,I am not interested in new job opportunities,Vacation/days off; Health benefits; Expected work hours; Remote options
24032,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Equipment; Professional development sponsorship; Remote options
24217,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,NA,NA
24273,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Health benefits; Equipment; Private office; Remote options
24326,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am not interested in new job opportunities,Vacation/days off; Equipment; Professional development sponsorship; Expected work hours; Meals
24514,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
24531,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Health benefits; Child/elder care
24684,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Annual bonus; Health benefits; Private office; Remote options
24707,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
24748,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
24780,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Long-term leave; Remote options; Child/elder care
24857,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Health benefits; Equipment
24918,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Expected work hours; Remote options; Meals
24945,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Professional development sponsorship; Expected work hours
24957,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options
25663,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Retirement; Annual bonus; Equipment; Remote options
25864,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Health benefits; Expected work hours; Remote options; Child/elder care; Other
25940,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
26118,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
26124,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Long-term leave; Expected work hours; Remote options
26165,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
26195,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Health benefits; Equipment; Remote options
26207,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",NA
26426,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
26531,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
26548,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,NA
26917,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Health benefits; Expected work hours; Remote options
27240,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Professional development sponsorship; Expected work hours; Remote options
27395,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Equipment; Expected work hours; Remote options
27490,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Equipment; Expected work hours; Meals
27553,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Retirement; Vacation/days off; Health benefits; Long-term leave
27725,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
27770,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Expected work hours; Meals
27791,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
27919,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
27964,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Vacation/days off; Health benefits; Long-term leave; Expected work hours; Remote options
28035,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
28113,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Annual bonus; Health benefits; Education sponsorship; Remote options
28119,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
28313,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
29186,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
29365,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,I am actively looking for a job,Stock options; Retirement; Annual bonus; Vacation/days off; Remote options
29604,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Health benefits; Meals
29638,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Expected work hours; Child/elder care; Meals
29674,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am actively looking for a job,Health benefits; Professional development sponsorship; Expected work hours
29707,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,0,NA,NA
29710,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
29797,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Professional development sponsorship; Education sponsorship; Long-term leave
29834,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
29836,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Health benefits; Equipment; Professional development sponsorship; Remote options
29925,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Education sponsorship; Long-term leave; Expected work hours; Remote options
29985,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
29993,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Retirement; Health benefits; Equipment; Education sponsorship
29999,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Health benefits; Remote options
30602,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Professional development sponsorship; Education sponsorship; Remote options; Meals
30938,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,I am actively looking for a job,Retirement; Annual bonus; Professional development sponsorship; Expected work hours; Remote options
30952,Professional developer,Brazil,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Remote options; Meals
31195,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,1,I am actively looking for a job,Vacation/days off; Professional development sponsorship; Education sponsorship; Remote options
31202,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
31327,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
31356,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
31557,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Equipment; Long-term leave; Remote options
31562,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Professional development sponsorship; Expected work hours; Other
31993,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
32198,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,1,NA,NA
32321,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Expected work hours
32494,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Expected work hours; Remote options
32835,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Annual bonus; Health benefits; Equipment; Long-term leave; Expected work hours
32840,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Equipment; Expected work hours
32964,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
32979,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
33015,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Long-term leave; Meals
33040,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
33093,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
33104,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
33106,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Health benefits; Expected work hours; Remote options
33186,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
33342,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
33362,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Expected work hours; Remote options
33415,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Charitable match; Health benefits; Long-term leave
33721,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
33740,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
34181,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
34243,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options
34425,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Professional development sponsorship; Expected work hours
34610,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Equipment; Remote options
34636,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
34658,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Expected work hours; Remote options
34751,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Health benefits; Equipment; Expected work hours
34804,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Long-term leave; Remote options; Child/elder care
34984,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
